Title,Price (PHP),Exact Lifetime Sold,Monthly Sold
RK Royal Kludge RK R65 Berry Red Gasket Wired Hot Swapple Mechanical Keyboard,2559.0,19,18
Royal Kludge RK R98Pro Phantom 98 Key RGB Wired With Knob Mechanical Keyboard,3446.0,439,116
RGB Gaming Mechanical Keyboard with Colorful Button Mouse SET,265.0,30,2
ONIKUMA G52 Wired RGB Gaming mechanical Keyboard USB Port 82Keys Full Key Hot Swap,1699.0,2,2
Attack Shark X66 Tri Mode Wireless Mechanical Keyboard Gasket RGB Hot-swap Gaming Creamy Keyboard,1899.0,375,19
Zeus Wired Gaming Keyboard Multi Colors Mixing 98 Keys USB Mechanical Feel With Volume Control Media K-77,409.0,4000,29
8Bitdo Retro Mechanical Keyboard,3595.0,1000,42
AULA F108 Customized Mechanical Keyboard 108 keys Tri-mode Hot swappable RGB light PBT Keycap 4000mAh Battery Office Gaming Keyboard,3699.0,406,39
Esgaming ES-980 Wired 98Keys Gaming Keyboard Hot Swappable Rainbow LED Mechanical Keyboard Mouse Set,1489.0,2,2
XUNFOX K95 96 Keys Tri-Mode Hotswappale Full RGB Gasket 7 Layers Wireless Mechanical Keyboard,1599.0,0,0
ATTACK SHARK X82PRO HE Wireless 3 Mode Mechanical Keyboard Magnetic Switch Rapid Trigger 8K,3699.0,166,22
ATTACK SHARK X85/X85 Pro Wireless Mechanical Keyboard 75% 80 Key Wired Bluetooth 2.4G RGB Gasket,2699.0,712,95
FIREWOLF K82 mixed ledlight 94 key contrast color wired mechanical feeling gaming keyboard,505.0,2,1
Zeus K-55 RGB Gaming Keyboard 104 Keys Backlight Wired Mechanical Keyboard Feel For Laptop,429.0,1000,8
AULA F108/ F108PRO Customized Mechanical Keyboard 100% Full Keys Layout Hot-swappable Gaming,1240.0,0,0
FURYCUBE IP98 Membrane Keyboard Waterproof Type C Gaming Office With Knobs RGB Mechanical Feel,900.0,985,348
"GG82G METCHANICAL KEYBOARD | GASKET MOUNT | 82 Keys Tri-Mode Wireless, Hot Swappable",1399.0,1000,38
ATTACK SHARK X75 Full Aluminum Keyboard 10000mAh 75% VIA Wireless Gasket Mechanical Keyboard,1428.0,0,0
Aula F99 3in1 Gaming Mechanical Keyboard RGB Hot Swappable 99 keys The Three Mode Connection,2999.0,558,153
Redragon Irelia Pro K658CT RGB Tri-Mode Wireless Mechanical Keyboard 94-Key Transparent,2199.0,1,1
Aula F75 3in1 Gaming Mechanical Keyboard  Wired Bluetooth 75% 80 Key RGB Tri-Mode Hot Swappable,2799.0,393,93
Attack Shark X66 Mechanical Keyboard 80 Key RGB Tri-Mode Bluetooth 2.4G Gasket Structure Hot-swap,1899.0,1000,55
Royal Kludge RK61 Bluetooth 5.0 And USB C 2.4G Tri Mode RGB Backlit Mechanical Keyboard Rk61,1699.0,8000,120
Furycube K99PRO Wireless Mechanical Keyboard 99 Keys RGB Gasket Structure Keyboard with Numpad,2398.0,373,65
Zifriend AG61 Wired Mechanical Keyboard GASKET Structure 60% Layout Hot-swap Keyboard Mix Light,864.0,149,8
Zeus K77 98 Keys Wired Gaming Keyboard USB Mechanical Feel With Volume Knob Control Media,389.0,810,12
AULA L99 Equipped with Touch Screen Super Intelligent Customized Mechanical Keyboard Tri-mode RGB,1260.0,0,0
IQUNIX ZK-V102 Three models Better quality RGB mechanical feel keyboard game e-sports dedicated computer silent office high value laptop,799.0,47,35
Redragon K606 Lakshmi Mechanical Keyboard,1149.0,3000,2
Rakk Daug 96 Keys Mechanical keyboard| Hotswappable| Yellow Switch |Gray/Black & Black/Gray,1050.0,1000,35
Redragon K552 Kumara 87 Key LED RGB Backlit Blue Switch Mechanical Keyboard,1554.0,1000,59
Zeus x Gundam RGB Backlit Mechanical Gaming Keyboard 104 Keys Blue Switch PBT KEYCAPS GD-99,1399.0,2000,28
[Sulit Sale] Attack Shark M86 Wireless Mechanical Keyboard Bluetooth Rgb Side Carved E-Sports,1220.0,0,0
Redragon K516 Shiva 87 Keys TKL RGB Wired Mechanical Gaming Keyboard,900.0,1,0
RK Royal Kludge RKR75 Pink Melody Gasket Wired With Knob Mechanical Keyboard,2699.0,479,139
Zeus Wired Gaming Keyboard Mecha Gundam Style 98 Keys USB Mechanical Feel With Volume Control Media,259.0,688,18
Multi color rainbow LED backlit large-sized USB wired mechanical multimedia PC gaming keyboard,529.0,28,1
CPSTECH K3 MAX Mechanical Keyboard 100% 98 Keys 100 Type-C Wired Wireless Gaming With Numpad,1280.0,742,26
MKEPS 61 Key RGB Tri-Mode Wired Bluetooth 2.4G Connection Mechanical Keyboard Portable Keyboard,659.0,0,0
"AULA F99 Mechanical Keyboard – Tri-Mode, RGB, Hot-Swap, 99 Keys",1240.0,0,0
AULA F2058 True Mechanical Keyboard Gaming Keyboard Wrist Rest Multimedia Knob Marco Programmi,1699.0,63,4
METMI x Eweadn V102 RGB Mechanical Feel Keyboard 16M RGB Colors Silent Typing Volume Knob LED Logo,779.0,39,7
YINDIAO K100 Mechanical Keyboard Rainbow Backlit Full 104-Key With LANGTU MX Switch,1388.0,376,5
MKEPS GK80 Mechanical Keyboard 87Keys USB Wired Keyboards Gaming Keyboard With RGB BackLight,518.0,250,12
COD Original Product Quality Gaming Wireless Keyboard Mechanical,400.0,0,0
Raiku K26 Illuminated Keyboard Suspended Three-Color Mechanical Gaming Keyboard,379.0,66,5
COD Original Product LEAVEN K E Sports Wired Mechanical Keyboard Type C Hot Swap RGB Computer Gaming,417.0,0,0
【Local Delivery】AULA S75 Pro Wireless 3 Mode Mechanical Keyboard Gasket Full-key Hot Swappable with Display 80 Keys for Windows/MAC Office Gaming Keyboard,3329.0,38,3
